Designator,Mid X,Mid Y,Rotation,Layer
C1001,145.0715,-104.16875,90.0,top
C1002,151.484,-105.16875,180.0,top
C1003,147.9215,-103.51875,0.0,top
C1004,147.8715,-105.11875,0.0,top
C1005,157.044,-105.61875,0.0,top
C1006,157.8215,-108.11875,0.0,top
C1007,157.8215,-110.61875,0.0,top
C1008,157.8215,-113.16875,0.0,top
C1009,157.8715,-115.66875,0.0,top
C1101,133.3575,-79.255,0.0,top
C1102,133.4075,-78.105,0.0,top
C1103,130.45,-66.75,270.0,top
C1201,132.8075,-101.955,0.0,top
C1202,132.8575,-100.805,0.0,top
C1203,132.25,-89.4,270.0,top
C201,164.7425,-59.83125,0.0,top
C202,164.7425,-58.83125,0.0,top
C203,164.7425,-57.83125,0.0,top
C204,164.7425,-56.83125,0.0,top
C401,158.8,-91.45,90.0,top
C402,160.925,-91.4375,90.0,top
C403,160.0,-73.3375,90.0,top
C404,162.1,-73.3375,90.0,top
C501,154.511,-83.5235,90.0,top
C502,155.655,-83.5675,90.0,top
C503,157.005,-83.5175,90.0,top
C504,154.025,-96.75,90.0,top
C505,155.175,-96.7175,90.0,top
C506,156.575,-96.8,90.0,top
C601,136.8175,-65.35,180.0,top
C602,136.8175,-64.3,180.0,top
C701,157.825,-78.3325,90.0,top
C702,162.175,-83.3,90.0,top
C801,161.1825,-103.65,180.0,top
C802,158.325,-99.1625,270.0,top
C901,140.3375,-66.5,180.0,top
C902,136.805,-63.25,180.0,top
D1001,143.3215,-112.04375,90.0,top
D101,165.0875,-128.1,0.0,top
D1201,138.509,-108.19375,180.0,top
D201,157.6125,-128.1,0.0,top
D202,148.115,-128.1,0.0,top
D203,139.525,-128.325,0.0,top
D701,156.425,-80.5,0.0,top
D801,159.95,-94.3,0.0,top
D901,134.605,-64.65,90.0,top
F1201,138.884,-113.84375,90.0,top
GPS501,144.75,-78.2,270.0,top
GPS502,144.4,-94.3,270.0,top
H101,129.1,-59.2,0.0,top
H102,171.4,-126.75,0.0,top
H103,129.1,-126.75,0.0,top
H104,171.331891,-59.2,0.0,top
J1101,131.1,-72.0,0.0,top
J1201,130.55,-94.7,0.0,top
J401,167.34,-98.2,270.0,top
J402,167.235,-79.5,270.0,top
L1101,131.6075,-78.755,90.0,top
L1201,131.0575,-101.455,90.0,top
MCU201,156.2425,-65.65625,0.0,top
Q1201,133.1465,-111.44375,0.0,top
R1001,151.5215,-103.41875,180.0,top
R1002,154.159,-108.49375,90.0,top
R1003,154.159,-110.89375,90.0,top
R101,165.2,-125.9,0.0,top
R1101,132.26,-77.005,180.0,top
R1102,131.55,-66.7,90.0,top
R1201,131.71,-99.705,180.0,top
R1202,138.584,-110.04375,180.0,top
R1203,133.35,-89.35,90.0,top
R201,157.6675,-125.9,0.0,top
R202,148.2,-125.9,0.0,top
R203,139.5,-125.9,0.0,top
R701,159.925,-83.05,180.0,top
R801,161.1,-96.5,0.0,top
R901,136.255,-61.95,180.0,top
TP301,139.45,-73.65,270.0,bottom
TP501,143.9,-78.1,0.0,bottom
TP502,144.0,-82.5,0.0,bottom
TP503,145.3,-93.15,0.0,bottom
TP504,145.3,-98.45,0.0,bottom
TP601,139.15,-61.45,0.0,bottom
TP602,144.5,-56.75,0.0,bottom
TP603,156.2,-62.6,0.0,bottom
TP604,139.15,-58.45,0.0,bottom
TVS1201,130.7965,-115.59375,180.0,top
U1001,149.4715,-115.64375,0.0,top
U1002,149.424,-109.86875,180.0,top
U601,140.6875,-58.5,270.0,top
U701,160.225,-79.6,90.0,top
U801,160.9,-99.8,270.0,top
U901,139.8875,-63.4,270.0,top
